rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
632,0.833,225,1,0,0,27,0,38,0,50,4,10,4,3,5,4,9,1,1204.0
646,0.882,378,1,0,0,39,0,58,0,50,5,9,4,3,5,4,17,1,102.5900302
649,0.333,226,3,1,0,25,2,46,0,50,7,8,2,1,4,4,14,1,331.9477341
659,0.497,155,4,0,0,32,2,31,0,90,5,8,4,3,4,2,5,1,2397.95
663,0.583,287,3,1,0,32,1,54,0,50,5,6,4,3,4,2,18,1,3269.26
688,0.749,218,5,0,1,32,0,46,0,85,5,3,4,3,3,1,20,0,204.9208459
714,0.214,188,6,0,0,34,1,34,0,63,3,9,4,3,4,4,15,2,469.4610272
732,0.371,62,5,0,1,32,1,26,0,76,5,4,4,3,4,2,12,1,630.0
739,0.452,279,0,0,0,34,1,41,0,50,5,9,4,3,6,4,13,1,684.05
804,0.583,283,1,0,0,27,2,42,0,50,5,7,4,3,6,2,16,1,1411.43
828,0.499,167,8,0,0,32,0,40,0,68,5,6,1,3,5,4,11,1,163.85
840,0.262,126,0,1,0,29,1,29,1,72,5,5,4,3,4,1,4,1,5628.63
867,0.555,73,2,0,1,10,1,24,0,95,1,4,5,3,1,1,16,1,1074.03
876,0.565,190,1,1,0,20,0,33,0,50,5,11,2,1,8,5,20,1,254.6664653
895,0.666,211,0,1,0,32,0,37,0,90,5,11,4,3,8,5,5,0,95.81510574
896,0.833,334,1,1,0,32,2,51,0,50,5,11,4,3,7,5,13,1,698.14
927,0.916,89,2,0,1,32,1,27,0,90,5,8,2,1,5,2,12,0,1621.174622
945,0.641,186,3,0,0,32,1,34,0,72,1,12,4,3,8,4,7,2,243.08429
955,0.983,331,2,1,1,32,3,53,0,100,1,5,5,3,1,1,15,1,77.75
960,0.916,393,0,0,1,44,2,51,0,57,5,10,4,3,4,2,8,1,353.4743202
997,0.9,614,1,0,0,39,0,70,0,50,5,11,2,1,7,5,5,1,516.66
1013,1.0,118,0,1,0,32,1,27,0,85,5,10,2,1,7,4,13,0,92.84592145
1029,0.611,133,1,1,1,44,1,29,0,76,5,11,2,1,8,4,16,1,2447.3
1041,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,1173.0
1059,0.416,377,2,0,0,20,0,49,0,118,1,17,5,3,9,3,8,0,1941.94
1077,0.583,175,1,1,1,32,0,32,0,60,5,11,2,1,7,4,12,1,1021.79
1080,0.848,36,0,1,1,10,1,21,0,85,5,8,2,1,5,2,7,1,2300.0
1131,0.31,129,7,0,1,34,1,31,0,57,5,1,4,3,2,4,13,1,2854.65861
1153,0.333,214,6,1,0,32,1,36,0,76,5,13,4,3,8,3,15,0,230.5712991
1155,0.756,224,0,1,0,32,1,37,0,50,5,11,2,1,5,5,13,1,699.85
1249,0.833,85,1,0,1,10,1,25,0,95,5,6,2,1,4,2,13,1,1204.0
1261,0.5,379,3,0,0,32,2,51,0,55,5,9,4,3,3,5,15,1,1198.619637
1287,0.81,100,1,0,0,32,1,27,0,80,5,5,4,3,4,2,11,1,1204.0
1301,0.792,547,2,0,0,39,0,79,0,50,5,5,4,3,3,2,7,1,176.3954683
1319,0.937,15,8,0,0,10,1,22,0,100,5,4,1,3,3,2,19,1,69.05
1359,0.791,374,4,0,0,32,0,56,0,50,5,3,4,3,3,1,15,1,276.9589124
1396,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,2801.873112
1397,0.935,467,0,1,0,29,2,57,0,62,5,6,4,3,6,2,17,1,3472.83
1429,0.192,176,0,0,1,32,3,33,0,100,5,7,2,1,4,2,19,1,1173.0
1435,0.207,209,8,0,1,32,1,42,1,76,5,9,4,3,6,5,14,1,1204.0
1488,0.497,155,4,0,0,32,2,31,0,90,5,8,4,3,4,2,5,1,2825.379154
1503,0.808,651,5,1,0,39,0,79,0,56,5,12,4,3,8,5,17,0,1204.0
1505,0.292,109,3,1,1,32,1,28,0,95,6,12,4,3,5,3,16,1,196.19
1520,0.162,232,5,0,0,32,1,50,0,50,5,4,4,1,3,2,20,1,2346.0
1525,0.756,224,0,1,0,32,1,37,0,50,5,11,2,1,5,5,13,1,824.5966767
1560,0.833,123,5,0,1,32,1,38,1,100,5,6,4,1,4,2,17,1,1963.891541
1589,0.916,54,4,0,0,32,1,26,0,80,5,7,4,1,4,2,17,1,244.1918429
1601,1.0,474,0,1,0,39,0,58,0,50,5,11,2,1,7,4,18,0,2364.44
1621,0.791,600,7,1,0,39,0,71,0,50,5,7,4,1,4,4,13,1,131176.6767
1628,0.7,1,1,1,1,10,1,18,0,100,5,8,2,1,5,2,16,1,1173.0
1633,0.571,67,0,0,0,10,1,23,0,85,5,9,4,3,8,2,6,1,1204.0
1702,0.11,49,5,0,1,10,1,23,0,80,5,8,4,3,3,5,16,0,5940.15
1707,0.749,174,6,0,0,32,1,33,0,60,5,8,4,3,5,4,18,0,2346.0
1709,0.583,313,6,1,0,25,0,47,0,85,7,8,4,1,2,4,10,1,1204.0
1761,0.575,112,2,1,0,32,1,36,0,80,5,10,4,3,6,4,5,1,1057.335952
1780,1.0,201,2,1,1,32,2,34,0,50,6,17,2,1,7,3,16,0,1769.3
1819,0.166,158,7,1,0,32,0,32,0,90,5,13,4,3,8,5,10,2,1070.42
1876,0.833,488,7,1,0,27,2,62,0,81,8,6,4,1,4,4,20,1,4326.52568
1877,0.833,66,3,1,1,32,2,27,0,85,6,15,5,3,9,4,16,0,163.48
1929,0.752,541,5,1,0,39,0,63,0,95,5,14,4,3,8,3,12,1,79.8
1996,0.2,58,6,1,1,32,0,37,0,95,5,4,4,3,2,1,19,1,772.03
1997,0.347,162,1,0,1,32,1,36,0,64,5,6,4,3,5,2,17,1,60.16132931
2005,0.749,113,5,0,1,32,1,28,0,76,5,2,4,3,3,1,19,2,229.039577
2018,0.75,199,4,0,1,32,1,38,0,90,5,4,4,3,2,1,13,1,2353.42
2069,1.0,325,2,1,1,32,1,50,0,50,5,6,4,3,7,2,10,1,4378.085801
2109,0.868,485,6,1,0,32,1,61,0,50,5,15,4,3,8,5,7,0,2764.169184
2130,0.666,38,2,0,1,10,1,23,0,90,1,8,4,3,7,2,16,1,1454.71
2140,0.861,13,4,0,0,32,0,21,0,125,5,6,4,3,4,1,14,1,13950.34713
2180,0.499,183,2,1,1,25,2,33,0,90,5,7,2,1,4,2,9,1,1293.52
2192,0.255,576,0,1,0,0,2,66,0,85,5,6,4,3,4,2,17,0,1967.626586
2213,0.833,236,0,1,0,32,1,37,0,100,3,14,2,1,6,3,16,1,215.2540785
2234,0.666,135,1,1,0,32,1,29,0,90,5,10,4,3,6,4,6,1,750.3317221
2254,0.827,232,5,0,0,30,2,40,0,55,5,10,4,3,6,2,6,0,2667.493958
2280,0.416,369,3,1,0,32,1,51,0,50,3,12,5,3,7,3,9,1,1204.0
2289,0.347,94,4,1,0,32,1,29,0,124,6,12,5,3,9,5,10,1,602.0
2333,0.571,67,0,0,0,10,1,23,0,85,5,9,4,3,8,2,6,1,2565.705136
2394,0.9,350,1,1,1,32,1,56,1,55,5,8,4,3,6,4,15,1,77.75
2428,0.627,149,2,1,1,32,1,31,0,95,1,9,4,3,8,2,13,1,3296.16
2446,0.166,197,6,1,0,34,1,34,0,50,5,7,4,3,6,2,14,1,1219.003323
2462,0.796,397,2,1,0,29,2,51,0,68,8,5,4,1,4,2,11,1,2827.73
2475,0.583,463,0,1,0,32,2,60,0,50,8,13,2,1,1,0,15,1,663.0
2483,0.841,119,6,1,0,32,0,30,0,90,5,14,4,3,8,3,12,2,1204.0
2491,0.71,212,3,1,0,27,0,35,1,54,2,2,5,3,1,1,17,1,1326.0
2493,0.916,424,1,1,0,39,0,60,0,50,5,14,2,1,8,3,16,0,4162.34864
2532,0.564,164,5,1,1,10,1,33,0,64,5,6,4,1,3,2,18,1,2694.06
2565,0.5,83,6,1,1,32,1,25,0,76,5,3,4,3,3,1,16,1,3207.661631
2631,0.7,370,4,1,0,32,0,50,0,50,3,9,4,3,6,4,11,0,102.5900302
2680,0.408,149,2,1,0,34,1,32,0,85,5,9,2,1,5,4,18,1,389.1987915
2687,0.136,233,3,0,0,32,1,52,0,90,5,2,4,3,3,1,20,1,3002.469789
2697,0.375,396,4,1,0,32,1,51,0,75,5,10,4,3,7,5,13,1,2346.0
2740,0.916,102,1,0,0,32,1,26,0,60,5,10,2,1,7,4,15,1,663.0
2749,0.583,425,6,1,0,0,2,70,0,50,5,10,2,1,5,5,10,1,368.4498489
2767,0.749,264,2,0,0,32,0,40,0,100,5,10,2,1,7,4,16,1,8075.603927
2773,0.391,409,2,1,0,44,2,54,0,50,5,11,2,1,5,2,16,2,210.2936556
2786,1.0,456,0,1,0,39,0,67,0,50,5,17,2,1,9,3,19,0,154.65
2829,0.214,636,2,1,0,39,0,72,0,72,5,8,4,3,6,4,7,1,1927.97
2857,0.897,172,2,0,0,32,1,40,0,50,6,12,4,3,6,5,5,0,289.4129909
2881,0.469,269,0,0,0,34,1,41,0,60,1,12,4,3,7,4,1,0,4326.52568
2892,0.666,78,1,1,1,10,1,25,0,85,5,4,4,3,4,1,1,1,1528.81
2896,0.499,114,1,0,1,32,0,42,0,95,5,8,2,1,5,2,14,1,1326.0
2899,0.997,461,6,1,0,39,0,59,0,50,5,10,5,1,6,3,4,1,126.01
2921,0.583,172,6,0,0,32,1,34,0,50,5,6,4,3,5,2,17,2,301.7374622
2996,0.833,320,2,1,0,29,0,50,0,50,5,9,4,3,7,2,16,2,1401.39
3009,0.942,321,1,1,0,32,2,46,0,50,5,13,2,1,8,4,8,1,244.663142
3013,0.666,343,3,1,0,39,0,60,0,50,5,9,4,3,6,4,16,2,6694.002417
3018,1.0,97,2,0,0,32,1,26,0,125,5,7,2,1,5,2,17,1,1326.0
3037,0.916,84,8,0,0,32,1,31,0,90,5,9,4,3,7,4,13,1,79.8
3079,1.0,169,0,1,1,44,2,32,0,52,7,16,2,1,8,5,16,2,2707.29
3084,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,163.1
3093,0.5,94,4,1,1,32,1,26,0,85,5,5,4,3,3,2,7,0,156.2592145
3102,0.989,394,8,1,0,27,3,52,0,50,8,16,4,1,0,0,19,1,81.1
3131,0.083,18,8,0,1,32,1,29,0,95,5,2,1,3,2,2,17,1,76.99
3134,0.577,26,0,1,1,5,1,21,0,90,5,13,2,1,8,4,16,0,626.4389728
3137,0.762,285,2,1,0,32,0,42,0,85,6,19,4,3,5,3,8,2,857.3166163
3152,0.867,335,0,0,0,32,2,51,0,50,7,8,2,1,3,4,20,1,3000.95
3156,0.688,48,4,0,1,32,2,22,0,95,5,5,4,3,2,1,19,1,1453.59
3173,1.0,143,1,1,0,32,1,30,0,68,6,12,2,1,4,5,17,1,2346.0
3181,0.274,460,3,1,0,39,0,73,0,58,5,3,4,3,4,2,13,1,4255.0
3191,0.196,260,7,1,0,32,1,40,0,50,5,14,4,3,7,3,7,1,4740.632628
3198,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,192.1722054
3204,0.166,161,6,1,1,32,0,33,0,90,5,8,5,1,5,4,20,1,1326.0
3212,0.889,12,0,1,1,10,1,19,0,100,5,3,4,3,2,2,19,1,2163.26284
3223,1.0,97,2,0,0,32,1,26,0,125,5,7,2,1,5,2,17,1,2346.0
3239,0.5,299,1,1,0,32,2,46,0,55,1,9,4,3,8,2,3,0,6030.048036
3240,0.666,350,8,0,0,32,1,47,0,106,7,8,4,1,3,5,17,1,1204.0
3247,0.397,156,0,0,0,32,1,31,0,54,1,12,4,3,8,4,8,0,98.6429003
3249,0.166,255,8,1,0,25,1,43,0,90,5,23,4,3,9,3,11,1,980.0
3262,0.916,232,0,1,0,32,1,37,0,57,5,6,4,3,4,2,16,1,998.73
3287,0.114,118,6,1,1,25,2,28,0,76,5,7,4,3,4,4,16,1,266.84
3333,0.291,143,2,1,0,32,0,38,0,80,6,12,2,1,7,4,20,1,14775.0
3342,0.333,146,5,0,0,0,0,30,0,90,5,6,4,1,4,2,9,1,90.41
3344,0.916,158,1,1,0,32,1,31,0,85,7,7,4,3,3,4,14,1,1204.0
3381,0.48,160,2,1,0,34,1,31,0,60,7,11,2,1,7,4,14,1,318.763142
3383,0.689,231,6,1,0,32,1,39,0,51,2,11,4,3,8,5,15,1,2674.587009
3386,0.499,623,1,1,0,32,2,71,0,50,5,11,4,3,5,2,9,0,643.3232628
3404,0.48,79,8,1,1,32,1,30,0,95,5,6,4,3,3,2,11,1,1204.0
3414,0.308,93,4,1,0,32,1,25,0,85,5,11,2,1,5,2,17,1,468.7540785
3419,0.249,241,4,1,0,32,1,39,0,72,5,6,4,3,3,2,12,1,332.75
3436,0.165,358,6,0,1,32,2,47,0,50,5,3,4,3,3,1,17,1,3779.806949
3446,0.818,337,7,1,0,32,1,49,0,55,4,13,5,1,5,3,14,1,6420.754985
3453,0.848,36,0,1,1,10,1,21,0,85,5,8,2,1,5,2,7,1,4272.326284
3486,0.916,308,2,1,0,27,0,45,0,50,3,15,2,1,6,3,11,2,158.6
3533,0.528,580,2,0,0,39,0,87,1,50,5,5,4,3,4,2,16,1,16101.0
3573,0.546,288,3,0,0,32,1,43,0,50,2,2,5,3,1,1,9,1,1418.610272
3594,0.75,251,3,1,0,32,1,40,0,50,5,16,4,3,9,3,7,1,295.1981873
3618,0.583,142,0,1,1,32,1,33,0,95,5,12,2,1,8,4,13,0,256.11571
3622,0.833,440,2,0,0,32,1,56,0,50,1,8,4,3,7,2,14,1,1037.29
3664,0.305,189,6,0,0,34,0,35,0,64,5,11,4,3,7,5,18,1,278.5
3690,0.75,134,0,1,0,44,2,29,0,76,4,12,2,1,7,4,8,1,100.8462236
3695,0.166,258,0,0,0,32,0,40,0,51,4,11,4,3,6,4,20,1,1027.785498
3712,0.083,113,2,0,0,32,1,27,0,57,5,10,2,1,7,4,15,1,4326.52568
3716,0.583,403,3,0,0,34,1,54,0,61,5,10,4,3,6,5,11,1,1239.78
3749,1.0,498,1,0,0,20,0,60,0,80,5,12,2,1,8,4,7,1,2555.371903
3769,0.827,232,5,0,0,30,2,40,0,55,5,10,4,3,6,2,6,0,1.0
3778,0.916,244,1,1,0,32,1,38,0,100,5,6,4,3,7,2,2,1,319.26
3811,0.458,257,0,1,1,34,1,40,0,100,5,5,4,3,3,2,13,0,4562.175227
3812,0.349,134,3,1,1,32,0,31,0,85,5,10,4,3,7,4,18,0,3205.623263
3823,0.81,100,1,0,0,32,1,27,0,80,5,5,4,3,4,2,11,1,1418.610272
3828,0.583,309,6,1,0,32,0,51,0,64,2,22,4,3,9,3,16,0,663.0
3830,0.5,358,3,1,1,32,1,48,0,50,6,12,4,3,4,3,9,0,630.4685801
3836,0.476,339,4,0,0,34,0,52,0,50,5,9,4,3,4,2,19,1,10791.62991
3839,0.091,271,8,1,1,0,2,44,0,100,5,5,1,3,3,2,10,0,1852.5
3840,0.908,110,4,1,1,32,2,28,0,72,4,10,4,3,7,4,15,1,79.0
3848,0.916,134,4,1,0,32,0,30,0,76,5,7,4,1,3,2,12,1,1340.245015
3871,0.916,284,6,1,0,34,1,51,0,67,2,8,2,1,5,4,15,1,990.7060423
3904,0.833,567,2,1,0,39,0,78,0,50,7,11,4,3,7,5,15,1,2639.758006
3913,1.0,404,1,1,0,38,3,52,0,50,5,15,2,1,8,3,17,1,661.2208459
3936,0.833,275,2,1,0,44,1,57,0,82,5,17,4,3,9,3,13,2,5516.037462
3940,0.544,533,3,0,0,39,0,82,1,50,5,6,4,3,4,2,15,1,551.726284
3962,0.67,1,0,0,1,32,1,22,0,100,5,9,2,1,5,4,19,1,2894.070997
3966,0.416,81,1,0,0,32,2,31,0,95,5,7,4,3,6,2,10,1,38.81148036
3978,0.469,269,0,0,0,34,1,41,0,60,1,12,4,3,7,4,1,0,4326.52568
4012,0.916,263,4,1,0,32,2,40,0,78,5,4,4,3,3,2,18,1,3310.546224
4017,0.516,19,7,1,0,32,1,26,0,100,5,7,5,1,4,4,17,1,1204.0
4072,0.163,379,4,1,0,39,0,63,0,85,5,9,2,1,5,2,10,1,1326.0
4101,0.416,178,5,1,0,27,0,49,1,54,5,10,4,3,7,4,20,0,102.5900302
4113,0.916,93,3,1,0,32,0,27,0,112,6,11,4,3,5,3,19,2,717.2347432
4116,0.916,54,5,1,1,10,1,22,0,100,2,14,4,3,9,5,17,0,6229.501813
4125,0.586,141,3,1,0,27,2,37,0,85,8,7,2,1,2,4,20,1,2278.0
4151,0.583,115,3,1,0,32,0,36,1,95,3,10,2,1,5,4,12,0,1419.78852
4227,0.087,305,2,1,0,29,2,44,0,50,8,11,2,1,4,0,4,1,10697.32
4233,0.166,522,2,0,0,34,1,63,0,74,5,9,4,3,6,4,9,1,663.0
4242,0.5,746,6,1,0,39,0,81,0,51,5,12,4,1,5,5,16,0,652.01
4251,0.781,377,0,0,0,30,2,49,0,50,5,6,4,3,4,2,16,1,5072.215106
4281,0.666,385,2,0,0,32,1,50,0,95,5,5,4,3,4,2,18,1,1562.356495
4318,0.916,263,4,1,0,32,2,40,0,78,5,4,4,3,3,2,18,1,3310.546224
4322,0.646,176,8,0,0,32,2,32,0,76,5,5,1,3,5,2,13,1,395.3
4358,0.749,374,5,0,0,32,0,51,0,78,5,5,4,1,3,2,5,1,1418.610272
4380,0.916,213,3,1,0,29,1,35,0,50,8,8,4,1,2,4,16,1,2275.96
4383,0.416,684,4,1,0,29,2,75,0,50,5,6,4,3,6,2,15,1,3409.954985
4394,0.903,548,1,1,0,39,0,69,0,50,5,11,2,1,5,2,13,2,609.42
4400,0.591,417,0,0,0,32,1,54,0,50,5,7,2,1,5,2,8,1,7044.354381
4418,0.75,517,6,1,0,0,1,61,0,50,5,9,4,3,5,4,8,1,4326.52568
4422,0.546,288,3,0,0,32,1,43,0,50,2,2,5,3,1,1,9,1,1204.0
4439,0.833,344,6,0,0,29,2,47,0,81,8,10,4,1,0,0,10,1,1326.0
4440,0.499,411,2,0,0,32,1,55,0,50,5,6,4,3,4,1,8,1,1072.205438
4445,0.338,97,6,0,1,32,1,27,0,147,5,4,4,3,3,2,3,1,1.178247734
4491,0.666,111,8,1,0,32,1,33,0,80,8,13,4,1,1,0,11,1,437.0592145
4499,0.91,438,0,1,0,32,2,54,0,50,3,12,2,1,6,5,17,1,403.8561934
4536,0.75,279,3,1,0,29,2,42,0,64,3,9,4,3,6,4,11,1,8639.890332
4579,0.916,417,4,0,0,20,0,59,0,90,5,10,4,3,6,4,10,1,6047.04
4587,0.849,663,3,1,0,25,1,78,0,90,2,15,4,3,9,5,16,1,0.48
4602,0.416,473,2,1,0,32,1,57,0,50,5,11,4,3,8,5,12,1,541.6
4608,0.323,543,5,1,0,39,0,66,0,50,5,10,4,3,7,5,15,1,928.0
4614,0.945,103,0,0,1,32,1,27,0,76,5,5,4,3,4,1,3,1,1180.64
4640,0.177,126,8,0,1,34,1,29,0,80,5,6,1,3,5,4,16,1,168.96
4641,1.0,227,3,1,0,32,1,37,0,57,3,11,2,1,3,4,19,0,1113.7
4648,0.083,27,7,0,0,32,1,24,0,90,5,5,4,3,3,2,12,1,1326.0
4654,0.25,126,7,0,1,32,1,33,0,80,6,14,4,3,5,3,16,1,1418.610272
4684,0.75,212,5,0,1,34,2,36,0,70,3,11,2,1,5,4,7,1,180.978852
4697,0.583,456,6,0,0,29,1,58,0,55,5,0,4,3,1,1,10,1,414.23
4705,0.184,222,4,0,0,32,1,36,0,72,5,2,4,3,3,1,16,1,318.37
4749,0.833,266,2,1,0,32,0,45,0,50,2,19,4,3,9,5,13,2,428.45
4750,0.291,143,2,1,0,32,0,38,0,80,6,12,2,1,7,4,20,1,14775.0
4766,0.935,467,0,1,0,29,2,57,0,62,5,6,4,3,6,2,17,1,4091.854079
4791,0.897,426,7,1,1,39,0,70,0,50,5,9,4,3,7,5,17,1,1204.0
4801,0.083,487,3,1,0,32,1,58,0,50,4,10,2,1,3,5,8,0,2725.628701
4810,0.083,230,5,0,0,34,0,37,0,57,3,9,2,1,3,5,10,1,663.0
4832,0.916,193,3,1,0,32,1,36,0,50,5,11,2,1,6,5,15,1,1881.32
4864,0.394,193,7,1,0,34,1,34,0,58,5,7,4,1,4,4,15,0,731.87
4874,0.713,472,7,0,0,34,1,61,0,50,5,8,4,3,5,4,15,1,88.74561934
4876,1.0,338,8,1,1,0,1,48,0,50,5,0,4,3,1,1,15,0,179.2586103
4891,0.833,453,8,1,0,32,1,59,0,50,6,11,4,3,3,3,20,1,1204.0
4902,0.833,307,1,0,0,32,2,45,0,54,5,9,4,3,7,2,4,1,294.1613293
4916,0.31,572,5,0,0,39,0,67,0,50,2,15,4,3,9,5,15,2,2547.0
4930,0.833,100,2,1,1,32,3,28,0,100,8,4,4,1,3,2,15,1,2837.220544
4940,0.666,154,2,0,1,32,1,31,0,132,5,10,2,1,5,2,5,1,191.0882175
4946,0.166,456,5,1,0,32,0,56,0,50,5,8,4,3,6,4,6,2,440.9238671
4986,0.625,55,0,0,1,32,0,37,0,95,5,9,2,1,5,2,16,0,1927.38
5022,0.469,587,0,1,0,39,0,74,0,50,5,18,5,3,9,3,2,2,1488.37
5062,0.166,299,2,0,0,34,1,43,0,50,5,3,4,3,3,1,12,0,749.73
5077,0.56,416,1,1,0,32,2,53,0,50,5,7,2,1,4,2,13,1,9449.146224
5129,0.412,290,2,0,0,32,0,45,1,58,5,7,4,3,8,2,3,2,2608.228097
5164,0.794,293,1,1,0,32,2,42,0,50,4,11,4,3,7,4,16,1,3268.459215
5189,0.249,229,1,1,0,32,2,38,0,80,6,13,2,1,4,0,5,1,18277.94502
5214,0.49,492,8,1,0,29,0,61,0,95,5,8,1,3,6,5,19,1,1204.0
5247,0.808,631,5,1,0,39,0,73,0,52,5,8,4,3,5,5,6,1,542.5595166
5291,0.75,53,2,1,0,32,2,51,0,80,3,14,2,1,5,3,11,0,1204.0
5352,0.17,353,4,1,0,32,1,48,0,50,5,8,4,1,4,4,20,0,2320.782779
5354,0.5,172,3,1,1,32,0,33,0,85,5,9,2,1,5,4,11,2,3368.36284
5377,0.5,262,0,1,0,32,1,46,0,50,6,22,4,3,9,3,15,2,1822.9
5385,0.419,390,3,1,0,32,1,51,0,50,5,5,4,3,3,2,19,1,1326.0
5386,0.833,215,1,1,0,44,2,36,0,50,5,13,4,3,9,5,9,1,1083.504834
5390,0.868,485,6,1,0,32,1,61,0,50,5,15,4,3,8,5,7,0,2346.0
5398,0.416,174,2,0,0,34,0,33,0,80,5,9,2,1,5,4,17,2,449.3365559
5402,0.25,66,8,1,0,32,0,30,0,90,5,7,1,3,6,4,12,1,602.0
5415,0.363,524,0,1,0,38,3,61,0,50,5,9,4,3,5,4,10,1,306.2148036
5423,0.583,111,6,1,0,32,2,39,0,54,5,12,5,3,8,5,18,1,5436.0
5432,0.923,483,7,1,0,39,0,58,1,50,5,7,4,3,5,4,16,1,1204.0
5452,0.166,481,5,1,0,39,0,66,0,50,5,4,4,3,3,2,20,1,1471.36
5482,0.52,674,0,0,0,39,0,76,1,50,5,10,4,3,8,4,15,1,97.32326284
5484,0.416,53,7,1,1,32,0,24,0,85,5,8,4,3,5,5,15,0,1204.0
5493,0.333,239,3,0,1,0,2,38,0,68,5,9,4,1,3,4,11,1,97.32326284
5512,0.859,81,1,1,1,32,2,25,0,100,5,6,2,1,5,2,15,1,97.32326284
5565,0.833,149,3,1,1,32,2,32,0,90,2,18,4,3,9,3,7,0,1119.0
5574,0.166,117,8,0,1,32,1,28,0,72,8,3,1,3,4,2,12,1,388.42
5577,0.5,690,6,1,0,39,0,84,0,50,5,5,4,3,2,1,3,1,396.4685801
5615,0.333,157,4,0,0,32,0,33,0,55,4,13,4,3,6,3,17,0,1562.356495
5652,0.583,81,1,1,1,32,1,26,1,95,5,10,2,1,6,4,20,0,1120.93
5658,0.636,132,5,1,0,32,1,42,1,80,5,10,5,1,5,5,19,0,1585.87432
5665,0.33,197,6,1,0,32,0,35,0,68,5,3,4,3,3,2,15,1,1300.0
5697,0.262,145,2,1,0,32,1,32,0,95,4,10,2,1,5,4,13,1,1337.617523
5722,0.916,357,4,1,0,34,1,50,0,50,7,8,2,1,3,4,16,1,420.3987915
5732,0.407,137,3,1,0,32,1,34,0,60,4,13,2,1,4,3,10,1,1150.0
5778,0.416,281,7,1,0,34,1,48,0,50,5,9,4,1,3,5,13,1,79.8
5809,0.75,134,0,1,0,44,2,29,0,76,4,12,2,1,7,4,8,1,100.8462236
5811,0.749,385,3,1,0,32,2,52,0,50,8,11,4,1,1,0,5,0,227.6
5850,0.333,236,7,0,1,34,1,42,0,50,5,3,4,3,2,2,18,1,963.82
5855,0.125,316,3,0,1,32,1,47,0,50,5,9,2,1,5,4,20,2,1213.97
5866,0.577,389,1,1,0,44,2,50,0,54,2,14,4,3,8,3,16,0,1957.576133
5945,0.249,508,6,1,0,39,0,64,0,85,5,4,4,3,3,2,10,0,2300.0
5978,0.666,87,8,1,1,10,1,27,0,80,5,6,4,3,5,4,16,1,79.8
6043,1.0,135,3,0,0,32,1,30,0,57,5,7,2,1,5,2,20,1,1750.63
6061,0.833,115,8,1,0,32,0,28,1,76,5,6,4,3,4,2,16,1,155.99
6095,0.333,236,2,1,1,25,1,40,0,100,6,14,4,3,6,3,9,0,101.66
