rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18
230,0.083,307,7,1,1,32,2,43,0,60,5,10,2,1,5,4,11,1
231,0.535,409,6,0,0,32,1,53,0,72,5,3,4,3,2,2,15,0
232,0.416,128,6,1,1,32,0,29,0,68,5,10,2,1,5,4,3,0
233,0.456,253,6,1,0,32,1,42,0,50,5,15,5,1,8,5,19,1
234,0.083,481,2,1,0,32,1,64,0,50,5,12,2,1,8,5,14,1
235,0.75,142,3,1,1,32,1,30,0,68,5,15,4,3,8,3,18,1
236,0.023,485,3,1,0,39,0,61,0,100,8,11,2,1,3,0,1,1
237,0.061,36,4,1,0,32,0,22,0,95,5,8,2,1,5,2,15,1
238,0.008,152,0,1,0,32,1,36,0,72,5,10,2,1,7,5,13,0
239,0.764,298,0,0,0,34,0,43,1,50,5,7,4,3,4,2,4,0
240,0.083,463,2,0,0,39,0,56,0,50,4,13,2,1,5,5,19,0
241,0.083,93,8,1,1,10,1,28,0,80,5,7,1,3,6,5,20,1
242,0.833,228,3,0,0,32,1,38,1,50,5,4,4,3,4,1,16,1
243,0.961,364,4,1,0,32,0,51,1,50,1,15,5,3,8,3,16,0
244,0.25,466,2,0,0,32,1,61,0,50,5,3,4,3,3,1,11,1
245,0.583,286,6,1,0,34,0,42,0,57,3,8,4,3,3,4,12,0
246,0.95,72,8,1,0,29,1,26,0,100,8,6,4,1,1,0,14,1
247,0.502,319,8,1,0,32,1,54,0,68,5,8,4,1,3,3,17,1
248,1,139,1,0,0,0,2,37,0,95,5,9,4,3,6,4,11,0
249,0.485,474,2,1,0,32,1,57,0,50,5,4,4,3,4,1,18,0
250,0.833,250,8,1,0,29,0,54,0,50,6,13,1,3,3,3,15,2
251,0.445,187,3,1,0,32,2,35,0,59,6,15,2,1,9,5,17,0
252,0.333,244,0,1,0,32,1,42,0,50,1,9,4,3,6,2,18,0
253,0.49,728,3,0,0,39,0,81,1,50,5,4,4,3,2,1,7,1
254,0.249,241,4,1,0,32,1,39,0,72,5,6,4,3,3,2,12,1
255,0.566,37,8,0,1,10,1,21,1,85,5,2,1,3,2,2,14,1
256,0.184,155,1,0,1,32,1,33,0,51,6,12,2,1,4,5,14,1
257,0.083,189,5,1,0,32,2,35,0,76,5,6,4,1,4,2,13,1
258,0.194,651,4,1,1,39,0,74,0,50,5,10,4,3,6,4,17,1
259,0.003,161,7,0,1,32,1,41,0,51,5,10,4,3,7,5,20,1
260,0.499,125,1,1,0,34,1,28,0,71,7,8,2,1,3,4,14,1
261,0.676,84,6,1,1,32,1,25,0,80,5,6,4,3,5,4,8,1
262,0.008,130,3,1,1,0,1,30,0,85,5,4,4,3,3,2,3,1
263,0.042,280,0,1,0,32,2,42,0,85,6,16,4,3,5,3,16,0
264,0.916,88,0,0,0,10,1,26,0,68,5,7,2,1,4,2,5,1
265,0.966,470,1,0,0,39,0,62,0,90,5,5,4,3,4,2,15,1
266,0.842,557,2,1,0,32,1,67,0,50,1,24,4,3,9,3,8,0
267,0.262,93,1,0,0,32,1,26,0,68,5,7,2,1,4,2,20,1
268,0.083,537,1,1,0,44,1,63,1,80,5,14,2,1,8,5,9,1
269,0.916,517,2,1,0,0,2,62,0,50,5,15,5,3,9,3,15,0
270,0.499,422,6,0,0,39,0,71,1,64,5,3,4,3,3,1,16,2
271,0.248,82,3,1,0,32,1,26,0,118,5,5,4,3,5,2,18,1
272,0.513,502,0,1,0,39,0,70,1,50,5,9,4,3,8,4,7,0
273,0.416,391,1,0,0,4,2,52,0,50,5,9,4,3,6,4,13,1
274,0.833,178,1,0,0,32,0,33,0,58,5,11,2,1,6,4,19,1
275,0.499,336,6,1,0,32,2,50,0,50,3,9,4,3,4,4,18,1
276,0.435,504,1,1,0,44,2,61,0,50,5,15,5,3,9,3,9,2
277,0.407,108,1,1,1,32,1,30,0,100,5,9,4,3,7,2,7,1
278,0.25,560,1,0,0,39,0,73,0,50,5,10,4,3,6,5,12,1
279,0.916,448,6,1,0,32,2,56,0,50,5,14,2,1,7,5,16,1
280,0.549,112,8,1,1,32,1,29,0,95,5,0,1,3,1,1,15,1
281,0.39,107,3,1,1,29,2,27,0,95,1,17,4,3,9,3,16,0
282,0.508,168,3,0,0,32,2,32,0,63,5,3,4,3,3,1,17,1
283,0.499,271,8,1,1,32,0,40,0,50,4,13,4,3,5,3,14,1
284,0.117,253,5,1,0,0,2,51,0,76,5,6,4,3,4,4,13,1
285,0.166,269,1,1,0,25,2,40,0,62,3,15,2,1,6,3,15,0
286,1,342,3,1,0,29,2,47,0,50,4,10,4,3,7,4,11,1
287,0.333,135,0,1,0,32,1,29,0,76,4,11,2,1,6,5,10,1
288,0.083,200,8,1,0,34,0,36,0,64,5,8,4,3,6,5,5,0
289,0.344,230,8,1,0,34,1,40,0,60,5,8,4,1,3,5,20,1
290,0.592,160,2,1,1,32,1,32,0,90,5,4,4,3,3,2,8,1
291,0.079,43,3,1,1,34,1,22,0,85,5,3,4,3,4,2,12,1
292,0.602,424,1,1,0,32,0,55,0,50,3,11,2,1,5,4,20,1
293,0.643,250,2,1,0,32,0,41,0,100,8,4,4,1,2,4,11,1
294,0.25,269,7,1,0,32,1,42,0,54,3,12,5,3,7,3,18,1
295,0.333,34,3,1,0,32,1,35,0,90,7,8,2,1,5,4,19,1
296,0.416,337,8,1,0,32,0,59,1,50,2,18,4,3,9,3,16,2
297,0.9,119,4,1,0,34,0,28,0,64,5,2,4,3,3,2,15,1
298,0.499,593,4,1,0,39,0,75,1,50,7,9,2,1,6,4,11,1
299,0.472,172,2,1,1,0,2,33,0,90,1,8,4,3,7,2,14,1
300,1,428,1,1,0,0,2,53,0,52,6,15,2,1,8,5,9,0
301,0.305,1,6,0,1,10,1,20,0,100,5,5,4,1,4,4,20,0
302,0.666,147,7,0,1,32,0,34,1,72,5,6,4,1,4,2,20,1
303,0.555,1,5,0,0,32,1,30,0,100,5,4,4,3,3,2,17,1
304,0.064,218,2,0,1,32,0,41,0,60,5,5,4,3,4,2,17,2
305,0.333,210,1,1,0,32,1,37,0,50,5,12,2,1,8,4,15,1
306,0.666,181,2,1,0,34,0,39,0,57,5,5,4,3,4,2,17,1
307,0.166,307,0,0,0,32,1,52,0,85,5,7,4,3,4,2,16,1
308,0.739,444,1,0,1,32,1,56,1,50,5,6,4,3,6,2,7,1
309,0.333,643,8,1,0,39,0,72,0,50,5,2,1,3,2,2,6,1
310,0.249,81,0,0,1,32,0,25,1,90,5,14,2,1,8,5,11,0
311,0.166,94,3,0,1,10,1,27,0,139,5,5,4,3,3,1,3,1
312,0.916,154,7,1,0,32,1,31,0,54,5,0,4,3,2,2,19,1
313,0.483,580,0,1,0,39,0,81,0,50,5,7,4,3,5,2,16,2
314,0.583,486,6,1,0,32,1,58,0,50,3,10,4,3,6,4,14,1
315,0.452,434,4,0,0,25,2,56,0,86,5,7,4,3,7,2,16,1
316,0.166,139,7,1,0,32,1,52,0,76,5,13,5,1,5,3,20,1
317,0.333,127,2,1,1,32,1,29,0,90,5,6,4,3,4,2,15,1
318,0.416,219,1,0,0,32,1,37,0,85,3,11,2,1,5,5,3,2
319,0.249,183,3,0,0,32,2,33,0,65,5,6,4,3,7,2,14,1
320,0.5,234,2,1,0,32,1,44,0,62,5,12,4,3,7,3,14,1
321,0.042,207,0,1,0,34,1,36,1,50,5,6,4,3,4,2,15,1
322,0.916,569,2,0,0,39,0,70,1,57,5,4,4,3,3,2,17,1
323,0.291,59,1,1,0,10,1,23,0,80,5,5,4,3,5,2,14,2
324,0.009,206,8,1,0,12,0,35,1,95,5,3,1,3,0,1,4,0
325,0.583,216,6,1,1,32,1,36,0,50,5,6,4,3,6,4,16,1
326,0.5,163,3,0,1,32,0,31,1,90,5,11,4,3,6,0,17,1
327,0.666,212,2,0,0,32,0,37,0,95,5,8,4,3,7,4,11,1
328,0.591,608,7,0,0,39,0,80,1,50,5,10,4,3,6,5,7,1
329,0.916,329,2,1,0,32,1,45,0,50,5,11,4,3,4,0,15,2
330,0.916,272,6,1,1,32,1,41,0,50,5,19,5,1,8,3,17,0
331,0.749,70,6,0,1,32,1,25,0,90,5,8,4,3,5,4,16,1
332,0.338,309,7,1,1,32,1,53,0,72,8,4,4,1,3,2,12,1
333,0.416,61,2,0,1,27,0,36,0,90,5,8,4,3,6,2,20,1
334,0.469,314,0,1,1,32,1,58,0,51,5,10,2,1,6,4,17,0
335,0.778,64,8,0,0,32,1,41,0,80,5,6,4,3,5,5,13,1
336,1,333,2,1,0,32,1,54,0,50,5,5,4,3,4,2,1,1
337,0.213,71,0,1,1,32,1,24,0,76,5,5,4,3,4,1,15,1
338,1,106,5,0,0,32,0,41,0,64,5,4,4,3,5,2,19,1
339,0.16,315,3,1,0,32,2,46,0,72,5,15,4,3,8,5,16,1
340,0.249,381,1,1,0,32,2,50,0,53,5,17,5,3,9,3,20,2
341,0.249,58,3,0,1,10,1,23,0,100,5,3,4,3,3,2,17,1
342,0.5,342,8,1,0,0,2,46,0,55,5,11,4,3,5,3,17,1
343,0.249,320,0,1,0,32,0,45,0,50,6,16,2,1,6,3,17,2
344,0.249,378,8,0,0,32,1,57,0,50,5,3,4,3,3,1,16,1
345,0.083,268,6,0,0,27,2,44,0,57,7,14,4,3,9,5,19,1
